Student ID,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6
205842,7,1,8,9,4,16.5
280642,11,2,3,5,10,21
289179,7,5,4.5,5,7,23
264178,12,8,7.5,11.5,3,11
215754,13,1,6.5,13.5,2,13
219697,17,2,3,6.5,8,11
288204,7,0,6.5,5.5,7,24.5
285280,14,0,4.5,5,2,23.5
265518,11,3,9.5,7.5,5,12.5
266254,20,10,5.5,13.5,6,21.5
286523,7,4,6.5,3,4,22.5
267208,19,6,5.5,2.5,0,21.5
285888,14,10,5.5,12,6,13.5
264302,18,6,5.5,15,10,17.5
205180,18,3,6,8,5,19.5
299348,15,5,8,12.5,9,11.5
299342,7,8,8.5,7.5,9,22.5
206786,18,0,2,4.5,1,17.5
276254,13,1,9.5,7.5,9,17.5
292954,9,2,9.5,8.5,1,19.5
296067,8,5,6.5,13,6,23
241386,13,10,8.5,14.5,10,15.5
225309,14,2,9.5,10,10,11.5
214376,17,4,6,8,4,22
283567,18,1,6.5,3,0,12
279311,17,9,9,7.5,5,13.5
237422,17,8,7.5,3.5,9,22
288359,7,2,8,15,7,19.5
292921,14,2,7,14,10,11.5
285434,20,7,6,13.5,6,11
250254,20,0,6,2.5,2,12.5
239240,20,10,5,13.5,4,21.5
288513,7,10,8,14,10,13
228626,17,2,2.5,11,2,21
225091,16,10,2,10.5,10,14.5
207213,9,0,4,2.5,10,23.5
201425,16,4,9,3,10,12.5
276740,9,7,3,10.5,6,16.5
251585,13,9,7.5,11,3,19
297243,8,10,7.5,7.5,1,21.5
210327,9,2,1.5,13.5,3,19.5
211064,8,1,9,4.5,10,22.5
205252,7,4,1.5,5.5,4,12.5
282679,15,9,5.5,10.5,0,17.5
247622,11,8,8,10,1,24
291465,15,6,8.5,12.5,2,14.5
222342,18,3,4.5,15,1,21.5
295354,18,5,2,9.5,8,24.5
236971,17,1,8.5,7,6,11
236888,12,3,5,7,5,18
